portfolio,m5_coeff_financial,m5_coeff_geopolitical,m5_coeff_technology,mean_shock_frequency,intra_portfolio_correlation,sector_concentration_hhi,safe_haven_weight,kmeans_cluster,hierarchical_cluster,kmeans_label,hierarchical_label
geopolitical,0.0,5.1040089560430896e-05,-3.683479490949916e-05,0.06997742663656885,0.24301218388285648,0.14285714285714285,0.2857142857142857,1,0,Technology-Sensitive,Technology-Sensitive
tech,0.0,0.0001228259016247,-1.4173544498523658e-05,0.04740406320541761,0.5601834123485888,0.1111111111111111,0.0,0,1,Geopolitical-Sensitive,Geopolitical-Sensitive
balanced,0.0,1.2994738487840584e-05,-5.939662138288779e-05,0.06621519939804364,0.39614266142543914,0.16666666666666666,0.5,1,0,Technology-Sensitive,Technology-Sensitive
conservative,0.0,2.352641641773123e-05,4.403754878669816e-06,0.04288939051918736,0.37334715871927376,0.14285714285714285,0.42857142857142855,1,0,Technology-Sensitive,Technology-Sensitive
