article_count_financial,article_count_geopolitical,article_count_technology,sentiment_score_financial,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_financial,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_financial,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_financial,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_financial,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_financial,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,lagged_vol_geopolitical,lagged_vol_tech,lagged_vol_balanced,lagged_vol_conservative,sentiment_interaction_geo_fin
4.73637926047889e-05,-4.579002885169157e-05,-5.380955991595082e-07,-5.479449854227719e-05,-2.158342902748242e-06,-1.2252034232605407e-05,-0.00011014799451737186,-1.4587976478896905e-05,2.754336182876895e-05,-6.746256809265047e-07,-1.3131564634350617e-05,1.0008359683886096e-05,0.00016665435425696195,1.6845450359561665e-06,-0.00010850228544801643,-0.0001755747211463631,-7.893755302359085e-07,5.3349787880458925e-06,-5.622729995249582e-05,-4.124322545798579e-05,-4.764839493790574e-05,3.447442164234343e-05,0.00011704651574085629,7.578050807687027e-05,0.0005456136485842845,7.296547934951631e-05,5.538709441142995e-05
4.73637926047889e-05,4.751253777401227e-05,-3.940055553845745e-05,0.00012267177779342936,2.030969984355536e-06,4.4740616191593744e-05,-9.294922389180116e-05,-0.0002590160111129591,8.06460336121446e-05,1.1107836224536058e-05,-2.8146206317192793e-06,8.354364828186418e-05,-4.498128983349468e-05,6.908126312328545e-06,3.082159728378817e-05,-0.0001755747211463631,-9.771581756374309e-06,0.00016777952905186943,0.000184366877173049,-4.124322545798579e-05,-4.363538389058533e-06,1.741505046969632e-05,0.00012076306428731512,4.239528259652033e-05,0.000706892244062754,0.00012235956466840497,-0.00012017158774028729
4.73637926047889e-05,-3.861290834202205e-05,-5.380955991595082e-07,0.00012267177779342936,-4.450667488351364e-06,4.294119133443139e-05,-8.220390693965274e-05,3.154002350867606e-06,9.387961741340143e-06,-6.746256809265047e-07,4.9041300280912e-06,-7.060666716210481e-06,-0.00025661693392395134,1.6208607220708897e-06,0.00017523834978546598,-0.0001755747211463631,-8.641433763298672e-06,-1.6875264653695195e-06,2.63028031517104e-05,0.00012274359416954757,5.463685411881007e-06,-8.739413006227841e-05,4.4925695778488855e-05,0.00010515887793096519,-2.5064392482694215e-05,1.992877483031549e-05,-4.558825276073036e-05
4.73637926047889e-05,8.612544611603462e-07,1.4409004377493545e-05,0.0001265876581388133,2.0004070473523617e-06,-2.8439615759916888e-05,-6.88437148787561e-05,-0.0001352864653872827,-2.145620302514206e-05,-6.746256809265047e-07,8.063837959478136e-06,6.676826297962806e-06,-0.0004822621105778027,-6.815843329948349e-06,-4.55326298929128e-05,0.00021459132584555486,-7.3847522866074445e-06,8.539707852658429e-05,6.858580227957861e-05,0.00012636204369776522,3.0843380324511125e-05,6.026777227887305e-05,1.590824754219428e-05,-2.471106953205075e-05,-0.0007954281187401595,-4.857347259194635e-05,-0.00012361725541387987
-8.26136843567613e-05,-1.3492986558178704e-05,1.4409004377493545e-05,3.2981958434828154e-05,8.123119877409891e-07,-4.426379468203748e-05,5.6435927932679816e-05,-7.875007517273886e-05,-2.0592659298624598e-05,-6.889359058269966e-06,1.0750864456467977e-06,-2.867417889435343e-05,-0.0003706335636987532,-5.001693603857401e-06,-0.0002362348197593337,-0.0001755747211463631,3.1150097116354242e-06,4.473408490323226e-05,8.822702553138611e-05,0.00012636204369776522,5.391991358455495e-06,4.7183926667664246e-05,-2.9013206042469712e-05,-3.2860994269523214e-05,-0.0017176409552179372,-0.0001387396167121312,-2.5633582764886783e-05
-6.701638712137529e-05,-6.014426987103063e-05,2.6366684358815986e-05,9.403124347791122e-05,1.8551645624500353e-05,-1.1916048478766981e-05,3.804750249913754e-05,9.231634080080944e-05,-4.623517070150219e-05,3.3786000373793058e-06,-1.2615924927516357e-05,4.556345019489013e-05,-0.00033180873495775764,-6.86710476588387e-06,-0.00018328345899272584,-0.0001755747211463631,3.3957926307102743e-06,-0.00013894973913810115,9.441599359627376e-05,3.986616791554488e-05,2.6049767901396435e-06,7.628450741052079e-05,-9.639101095983719e-06,-4.6728999775847726e-05,-0.0013038724066337711,-0.00015298646737101765,-0.00025376186503040004
-6.701638712137529e-05,-3.861290834202205e-05,1.1419584382162934e-05,9.403124347791122e-05,-3.6057535302431874e-06,4.438362002528935e-06,3.627225490209952e-05,8.112957692616745e-06,-9.664901869412351e-06,-6.746256809265047e-07,1.6243072835093337e-05,2.0916161921956313e-05,-0.0002929839062167621,-5.03285318508851e-06,-0.000109634420548168,-0.0001755747211463631,3.2372524591753976e-06,-4.445706568397841e-06,1.0235380920999341e-05,9.627845255610362e-05,4.421762459799734e-05,1.679717445817342e-05,-2.254787434886444e-05,1.2262561427836452e-06,-0.0003913895181839524,-0.00014741716827573186,-3.727071573131058e-05
2.1368297212478857e-05,-4.579002885169157e-05,2.6366684358815986e-05,1.4961072906203385e-06,-2.5850766067754698e-06,8.75470554375725e-06,-6.281029188314139e-05,3.509232298140294e-05,-4.505047276472121e-05,-6.8182814760201015e-06,-5.226119436150477e-07,2.3643281282686076e-06,-0.00025543576735777404,-3.9212786388701695e-06,9.130838970393014e-06,-0.0001755747211463631,-2.4118812063934163e-06,-1.8172468238202417e-05,2.492798638755786e-05,9.627845255610362e-05,-7.758851308281606e-06,-1.3278499297479086e-05,-2.911703322079065e-05,1.70113475609603e-05,-0.0005044582587836726,-0.00018374561631687923,1.676758724398715e-05
-0.00023338755763215954,5.8278218538516554e-05,-4.537939552911867e-05,-6.0538068326701964e-05,-8.439600163908744e-06,-2.600391303174413e-05,0.0002046237952615197,-0.0003078459540811964,0.00011494614239288875,-4.7932409251277675e-06,4.450511954124625e-06,-5.785399482119173e-05,-7.110567075673233e-05,4.909851788053749e-06,-2.2426992401129676e-05,-0.0001755747211463631,7.113194079738858e-07,7.290213156728112e-05,-0.0003556383846910687,1.0771825604347597e-05,-5.364563551392173e-06,-2.1216232076766277e-05,-3.27089030219232e-05,-2.6445936269573025e-05,-0.0005071828062083331,-0.0002544267342858632,6.202261016002728e-05
-9.301188251368532e-05,-5.6555709616195865e-05,-2.445345556180439e-05,-8.375613226000484e-05,-4.305363149629798e-06,-6.461129657787528e-06,4.8819857136581493e-05,7.779223998020654e-05,6.290331412122273e-05,-2.2161351973331075e-06,-2.7747819186363864e-06,2.582975513184821e-05,0.00014091289723457362,5.138753552913633e-06,-4.684263882916804e-05,-0.0001755747211463631,-4.91976048917276e-07,-3.1786937587393436e-05,-0.00010108803339624996,-4.655054221531109e-05,-1.9098012160812338e-05,4.270468232546942e-05,-6.516935430868184e-05,-6.078779528648662e-05,-0.0017645766001122565,-9.510836487740894e-05,7.400770319450218e-05
