article_count_geopolitical,article_count_technology,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,lagged_vol_geopolitical,lagged_vol_tech,lagged_vol_balanced,lagged_vol_conservative
-0.00022017663918533025,5.905295901523541e-05,3.0179889809709866e-05,3.409283248608284e-06,0.0002008751281415168,-6.900197987858638e-05,3.8348793813772764e-05,9.64674027493593e-07,3.608833860541754e-08,-1.6572296443637524e-05,0.0003043171586944274,2.1141072342870294e-05,8.92821616662243e-05,1.5796489957891425e-06,-5.312057766365947e-07,4.9896251891492885e-05,6.482759545470232e-05,-3.487184075893125e-05,-0.0008761074309880434
-0.00015925338539857586,2.6915294245039276e-05,-4.881825043577801e-06,1.7786461335955164e-06,6.0054366955991396e-05,9.242727297383458e-07,-2.527146879743543e-05,-6.357323974035322e-07,2.431255148943241e-08,-3.3387450272413915e-05,-0.0001125556614349252,-2.2474586807429144e-05,-8.318771917176845e-06,-1.7149230573940503e-06,-7.218573609717586e-07,3.319724722670627e-05,0.00013497440541383553,-2.2320367900904162e-05,8.79462225323545e-06
0.00015754753429254674,-2.5308411006529465e-05,-1.2842099055786824e-05,-8.23964457828845e-06,-0.00031820235462508815,8.586816520827035e-05,-9.368467563194155e-06,-6.356227206321448e-06,-9.277593659197477e-08,1.8278185226764685e-05,-0.0001125556614349252,0.00010767487912774368,0.00013582357413218865,-1.4027332111834236e-07,-2.8763375824230856e-07,4.062553105941172e-05,6.907004482664661e-05,-1.3862880650190035e-05,0.0009161976744064842
-0.00013488408388387412,2.6915294245039276e-05,-5.260912232425236e-07,-7.923337805413955e-06,6.170032306633331e-05,-2.275351964093143e-05,2.529561663140597e-06,6.921100409236914e-07,2.574005871729108e-08,7.183241547377677e-05,-0.0001125556614349252,-1.9990194721691472e-05,6.415600053847988e-06,2.1722896952708953e-07,2.3801445267326295e-06,4.1719618633414005e-05,0.00012024971977256559,2.33436210660739e-06,0.0007825298193943338
-0.00017143803615592674,1.888087805249024e-05,-2.106221867404151e-05,-7.558973499273919e-06,0.00010510111177301644,-5.14615320612405e-06,-1.6747920704755384e-05,7.248859378297654e-07,8.81915874130258e-08,0.00011595892684249699,-0.0001125556614349252,-5.3473188958047446e-05,2.512823191171764e-05,-3.3589282062593684e-07,2.2959149546097025e-06,9.603280595088242e-06,0.0001151608153457751,4.036079326667342e-06,0.0009117221072360336
-0.00012269943312652327,4.7001334726411864e-05,-3.3400227164305926e-05,5.874766556451512e-06,3.064564990174449e-05,-6.964826655672183e-05,-1.1937302084426371e-05,9.638379475425251e-06,1.6753987502714958e-07,4.925887395026941e-05,-0.0001125556614349252,-2.3412359938463145e-05,0.00011993212611844268,5.864011347563611e-07,2.198888105250332e-06,2.1515982629959653e-05,5.9821513814106654e-05,1.3038333737532183e-06,-0.0006876753663510286
-8.529255530145591e-07,4.7001334726411864e-05,-1.2784025247570664e-05,4.624134042227165e-06,-0.00014908956192421943,-6.595843462133779e-05,7.400077498049889e-06,-3.765640470336539e-07,2.148518710115645e-07,-1.0036340558643803e-05,0.0003043171586944274,4.70656780291307e-05,9.83233389576141e-05,1.1405109920938315e-06,-1.3783927939902972e-06,1.4764063550375084e-05,-2.1703344840498054e-05,-7.52333512581907e-06,-2.6490395216111775e-06
-4.9591528582418036e-05,4.7001334726411864e-05,-1.0526480279713968e-05,7.405742259053631e-06,-6.649341668521411e-05,-6.297152659412564e-05,-3.372698231072855e-06,2.3734794429464153e-06,1.741870402484056e-07,-8.07546527198113e-05,-0.0001125556614349252,1.5684256698648887e-05,0.0001222211277576647,2.1462082822040373e-07,-1.045360906627158e-06,-2.6966784062320958e-05,-3.06117263160734e-05,-1.9324705694099426e-05,-0.001036170218697377
-0.00020799198842797934,6.307016711150994e-05,-4.423366815228761e-05,1.71958583490873e-06,0.0001839637210080114,-9.791184435690356e-05,-2.4476638575218698e-05,-3.4016521969539986e-06,2.1600091487879042e-07,-6.111863877222879e-05,-0.0001125556614349252,-0.00013811791959789313,0.00010113197461222818,1.1323267298780914e-07,-1.786077483094125e-06,-8.968950860250654e-06,-4.5769279585111886e-05,-1.4029734452515116e-05,-0.0011994810242518306
-0.00013488408388387412,4.2984126630137346e-05,-2.1315446244399997e-06,-1.155227626188644e-06,5.875965321061583e-05,-4.320878558667728e-05,2.000791779347868e-05,-1.484277732157268e-06,1.7488549367768473e-07,-3.380728123228498e-05,-0.0001125556614349252,-2.038414988304425e-05,2.363276018695278e-05,1.6270495161239598e-06,-2.7190654619865715e-07,-2.0961136884712327e-05,6.648142402956564e-06,-2.3530927659359565e-06,-0.001135626740730097
