,m5_coeff_financial,m5_coeff_geopolitical,m5_coeff_technology
geopolitical,0.0,5.1040089560430896e-05,-3.683479490949916e-05
tech,0.0,0.00012282590162474745,-1.4173544498523658e-05
balanced,0.0,1.2994738487840583e-05,-5.939662138288779e-05
conservative,0.0,2.352641641773123e-05,4.403754878669816e-06
