article_count_geopolitical,article_count_technology,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,lagged_vol_geopolitical,lagged_vol_tech,lagged_vol_balanced,lagged_vol_conservative
-8.802297001383624e-05,7.364883742622935e-05,6.547466692167281e-05,-2.851663017375062e-05,0.00011451129123186104,-6.108561519148254e-05,-3.964463403018551e-05,-7.100665429133367e-06,1.412599440657003e-05,-4.325280703109165e-05,9.638532238656725e-05,5.5117894645973035e-05,0.0001349583544157444,-0.00011412759350094811,1.9081541888693138e-06,0.002867219278669052,5.009759693148258e-05,0.00010073772034599747,-0.00014503612761124945
-6.366686320314552e-05,3.356783746637665e-05,-1.059102172716681e-05,-1.4877318868245923e-05,3.423471670120253e-05,8.182340332860375e-07,2.612541444575399e-05,4.679428415992383e-06,9.516618930681707e-06,-8.713945884351534e-05,-3.5649365814209806e-05,-5.859456359513462e-05,-1.2574603344609769e-05,0.0001239009692035386,2.5929973047840526e-06,0.0019076340133552876,0.00010430578692701416,6.447904471590543e-05,1.4559150057367779e-06
6.298489221244618e-05,-3.156378746838401e-05,-2.786067687968323e-05,6.891973475601296e-05,-0.000181395092753678,7.60167998996627e-05,9.685036503888851e-06,4.678621119396047e-05,-3.6315120396420596e-05,4.7705085482906965e-05,-3.5649365814209806e-05,0.00028072429569933046,0.00020531006097581465,1.0134565725865269e-05,1.0332145936465602e-06,0.0023344900958296917,5.33760853151277e-05,4.004706845798247e-05,0.00015167290919161522
-5.392442047886924e-05,3.356783746637665e-05,-1.1413443796318086e-06,6.627401640239813e-05,3.51730138475443e-05,-2.0143084988045596e-05,-2.615037825674196e-06,-5.094406712194369e-06,1.0075385554342314e-05,0.0001874787610534989,-3.5649365814209806e-05,-5.2117386892829896e-05,9.697780717874745e-06,-1.5694511626889813e-05,-8.549761596260402e-06,0.00239736032887953,9.292681534824303e-05,-6.7435016897259974e-06,0.00012954472331924949
-6.853808456528366e-05,2.354758747641347e-05,-4.569406187396423e-05,6.322632531631656e-05,5.991415726965165e-05,-4.555752385929191e-06,1.7313848000823805e-05,-5.335659893514568e-06,3.452067672397413e-05,0.00030264659477392933,-3.5649365814209806e-05,-0.00013941249278056787,3.798367742103554e-05,2.426782113904553e-05,-8.247198977512778e-06,0.0005518392708250692,8.899420175972385e-05,-1.165941979704479e-05,0.00015093199670953054
-4.90531991167311e-05,5.8618462441284586e-05,-7.246112436061815e-05,-4.9138934207309895e-05,1.746992259995488e-05,-6.16577555763444e-05,1.234067425283371e-05,-7.09451130469823e-05,6.557983628416951e-05,0.00012856302545552457,-3.5649365814209806e-05,-6.103947650209924e-05,0.0001812886480396419,-4.236672229993429e-05,-7.89866702025484e-06,0.0012363862586369308,4.6228987298847114e-05,-3.7665118595521924e-06,-0.00011384194296436878
-3.4098549534966923e-07,5.8618462441284586e-05,-2.7734686915047815e-05,-3.867813576647572e-05,-8.499030419090667e-05,-5.8391245628039844e-05,-7.650132768969522e-06,2.771770810056536e-06,8.409908700243838e-05,-2.6194311872088173e-05,9.638532238656725e-05,0.0001227071664567564,0.00014862494118353059,-8.240044163989871e-05,4.951350492483838e-06,0.0008483965435958507,-1.6771953583315832e-05,2.173339902568449e-05,-4.385380382749948e-07
-1.9825870943902238e-05,5.8618462441284586e-05,-2.283698828980102e-05,-6.194463697017789e-05,-3.79053747145729e-05,-5.5747015496039605e-05,3.486664736170043e-06,-1.747044384627663e-05,6.818172438330505e-05,-0.00021076532288883884,-3.5649365814209806e-05,4.0891171190191226e-05,0.00018474868853058816,-1.5506076796344583e-05,3.7550604315537105e-06,-0.001549609043086755,-2.365619017029675e-05,5.582518030632794e-05,-0.00017153389042310263
-8.315174865169809e-05,7.865896242121094e-05,-9.596405776349256e-05,-1.4383314535725342e-05,0.00010487073948549892,-8.667874831415161e-05,2.5303726195820127e-05,2.5038503648329276e-05,8.454885520647813e-05,-0.00015951637709408267,-3.5649365814209806e-05,-0.0003600937936189888,0.00015287045718612416,-8.180913929757263e-06,6.415802276455198e-06,-0.000515388387726384,-3.5369674047241714e-05,4.0529075467405556e-05,-0.0001985693497707987
-5.392442047886924e-05,5.3608337446303e-05,-4.624343401975888e-06,9.662793197358786e-06,3.349664950428133e-05,-3.8251587184647595e-05,-2.0684003321732206e-05,1.0925306662754106e-05,6.845511877098035e-05,-8.823519518607592e-05,-3.5649365814209806e-05,-5.3144486120651354e-05,3.572313176126471e-05,-0.00011755221968747819,9.767205816078704e-07,-0.0012045028133448833,5.1375645835751495e-06,6.797610789798497e-06,-0.00018799852513695376
