article_count_financial,article_count_geopolitical,article_count_technology,sentiment_score_financial,sentiment_score_geopolitical,sentiment_score_technology,article_zscore_financial,article_zscore_geopolitical,article_zscore_technology,sentiment_velocity_financial,sentiment_velocity_geopolitical,sentiment_velocity_technology,sentiment_3d_financial,sentiment_3d_geopolitical,sentiment_3d_technology,market_regime_flag,weighted_sentiment_financial,weighted_sentiment_geopolitical,weighted_sentiment_technology,z_lag1_sentiment_score_financial,z_lag1_sentiment_score_geopolitical,z_lag1_sentiment_score_technology,sentiment_interaction_geo_fin
-8.333263815140811e-05,-0.0002100537104333188,-0.00012103478429779085,-0.00013282303828940034,-0.00011597962826123374,-3.129001759400542e-05,-2.8806882711075134e-05,-0.00022914721920898275,-1.7947818389017673e-06,-0.0002602342968632042,-2.5861614637792094e-05,-8.445651859957728e-05,-2.1230946123612197e-06,-0.00062417611339044,-1.935421664629019e-05,1.0511184705244667e-07,-0.00011952848476124313,-5.5770513733459076e-05,-7.293127387948637e-05,-6.239888160081502e-05,-0.000367269608100417,-5.2144586446819065e-05,-0.00018609204732183764
-8.505973946024559e-05,-0.00020275542733465846,-5.763561157037666e-06,-0.00012227669717327893,-9.755828893355004e-05,2.1396666289612482e-05,-3.689406202413844e-05,-0.00019852635561284828,4.28996947319484e-05,2.8067109761357837e-05,1.5504077539942745e-06,6.624986620099672e-05,4.8948876363286775e-06,-0.0002761261402897025,-8.599413326906485e-05,1.0511184705244667e-07,-8.875261106332961e-05,-4.442309252087855e-05,4.9531228310961334e-05,0.00011685462977135306,-7.431430109469969e-05,4.592724383631955e-05,-0.00016370692251412171
-9.887654993094537e-05,-0.00017356229494001695,5.763561157037654e-06,3.719296339932326e-06,-7.112826889890176e-05,-3.528147802610143e-05,-9.26492485987058e-05,-9.157938177781338e-05,3.2302478703955324e-05,0.0001709807738092508,8.171790210162513e-07,-7.814888208321234e-05,7.071309826556267e-06,-8.399409409930822e-05,0.00010497743425626914,1.0511184705244667e-07,-1.0174371261008116e-05,-9.670506455536131e-06,-0.00011158473088162358,0.00010835247043118295,-5.733462669498777e-05,-3.815124694591548e-05,3.812588144215543e-06
-9.628589796768917e-05,-0.0001863342903626726,5.187205041333892e-05,8.013752799696353e-05,-0.0003257255564849167,5.69903328354385e-06,-7.807319467858583e-05,-0.00014698588802390772,4.560065645332234e-05,0.00010960908965908563,2.6546422605384782e-05,5.0793739265930474e-05,1.6698868520463639e-06,-0.00019510829784651087,-2.9552321587416553e-06,1.0511184705244667e-07,-5.444834256589497e-05,-2.768037427128814e-05,2.8017899775013003e-06,6.7780948939799845e-06,-3.297303568451378e-05,5.2296898261505124e-05,0.00013172172267623928
-6.0016770482102215e-05,-6.591261923477648e-05,-0.0003861585975215232,0.00014290267747550184,0.00018215484409426081,-3.235740913281414e-05,6.352199674180964e-05,0.00013405140779179645,-0.0002275153931681062,9.270811196740577e-05,-4.326164812107001e-05,-5.356190572653844e-05,-5.0559872925032236e-06,-4.692853427620067e-05,0.00015389714856934967,1.0511184705244667e-07,0.000227726858331307,1.1408909105896254e-05,0.00011608877319463067,-5.482810339681222e-05,-0.00026764538872910224,-1.310064222539271e-05,9.869467544945958e-05
-9.628589796768917e-05,-0.00014072002099604528,0.00012103478429779085,0.00010214087622154872,0.00014631954665989536,-5.669561870779281e-05,-9.050234039157754e-05,-7.407346078833499e-05,8.097911534590797e-05,-3.544659053440096e-05,6.5178332869026054e-06,-3.544917530322484e-05,-7.55230194845352e-06,6.826579195938343e-05,0.00021638280981036185,-4.777811229656667e-08,-8.18682967565489e-05,-1.4964779313004145e-05,-0.0002443810700964487,-0.00010542757633253894,0.00020048799084933214,4.763060914689794e-05,8.392496412430785e-05
-7.987843553373317e-05,-0.0001662640118413566,-5.187205041333894e-05,-8.139228412642509e-05,-0.0003798402440749156,2.8154833301902983e-05,-1.7843799287833556e-05,-0.00014713071115260074,-3.096770924260371e-05,-0.00021218144963163198,5.1409123141688356e-05,0.00010871697316745342,-3.4553423399862955e-06,3.959820125326539e-05,0.00015085762560146298,-4.777811229656667e-08,-0.00011787989908228219,-2.787177589694128e-05,6.186299375744312e-06,-7.256657502055889e-05,0.00016745718501981558,8.647002318035961e-05,-0.00020047873105869874
-7.469713160722075e-05,-0.0001607902995173613,-4.034492809926362e-05,8.582897458327062e-06,-0.00023214899906494595,6.415517379718995e-05,2.271664611490818e-06,-0.0001309852806189005,-2.523068882113484e-05,0.00012639106645378803,-1.0284801142919794e-05,4.4218220941847516e-05,-4.8524080777243875e-08,-0.00017988182408933522,-0.00013076248010819092,-4.777811229656667e-08,-6.1021641165281645e-05,-2.0605257568168332e-05,5.047240112053845e-05,7.53926229896545e-05,-0.00031752502881257107,-4.893606847886358e-05,-1.2914954825467491e-06
-7.297003029838327e-05,5.2456409771621485e-06,-0.0003746314752074478,3.2206102890530077e-05,-3.5553974780886804e-05,-2.3752956616909675e-05,5.860023176902384e-06,0.00018932215439405086,-0.00023574011704788594,4.425479465139457e-05,-1.476214983829165e-05,-0.00011938307936390353,1.725265771374808e-06,-0.0002762304478206182,-0.00022688793545032286,-4.777811229656667e-08,-3.401218465840277e-05,7.048699589233473e-05,8.130706009891201e-05,2.8571984218934555e-06,-0.00018139218812445113,-0.00010638615023341981,3.920325979285614e-05
-7.642423291605821e-05,-4.2193199164130264e-05,7.492629504148955e-05,-9.846122723953207e-05,0.00010917923264377753,1.6940541668855654e-05,-1.3757618584600168e-05,5.533242803770221e-05,5.682165082064223e-05,-0.00014673950725670607,-1.0013980238686637e-05,5.041478451354891e-05,2.1581937217905845e-06,-1.716935313026609e-05,-0.00019416505207823302,-4.777811229656667e-08,-0.00014137220643942723,1.1103590484925596e-05,4.369388376468404e-05,-1.6187155871098268e-05,-1.8280689720046152e-07,3.389944733867494e-05,-5.638067609520911e-05
-7.3833580952802e-05,5.633362266778475e-05,0.00027088737438076997,-0.00012017272485848038,0.00020098829392144521,-8.795031638010962e-07,-3.3413618758010354e-06,0.0001547406898725938,0.00014800620591087934,-1.186446068667127e-05,-5.168549880905015e-06,-2.6842982202586846e-05,5.42388552852699e-06,0.0002122878088322586,-4.396298154917875e-06,-4.777811229656667e-08,-0.0001913805868612991,1.0207066734409271e-05,-1.3136879036297536e-05,8.915311798199794e-05,0.0001332234939792829,-3.104007187787729e-05,-3.298912611086092e-05
-8.160553684257063e-05,5.2684481118454564e-05,0.00013256190661186618,1.1317845601732608e-06,0.0003720049932031576,-3.682738955472379e-05,-4.497566713312913e-05,0.0001015634745324564,5.455082008457706e-05,0.00016517324500466398,-1.2420345548746036e-05,-5.077789503705935e-05,6.212038658816497e-06,0.0004281946948018593,3.37544079422486e-05,-4.777811229656667e-08,-3.902676445431701e-05,-2.613765448067346e-05,-0.00013740825900268271,0.00010665630797343928,0.00021784752373673328,-2.602478832333328e-06,4.0449680722500976e-05
0.0002983567511016736,6.363190576644512e-05,8.645341735556488e-05,9.573685652192255e-05,-4.422661129260267e-05,-1.7717270664730774e-05,0.0002204146051447401,8.346032534625186e-05,2.18570758215564e-05,0.00013212234917468275,4.134473080743821e-05,2.1917387134454848e-05,1.2864977029175406e-06,0.0003469269994357765,0.00013488460751558983,-4.777811229656667e-08,0.0003121766923752716,4.118131746137594e-05,-5.93463234695366e-05,8.86407307388636e-06,0.0003754803548280679,5.476389558660799e-05,0.00011308204248964243
0.0006213246958542812,0.0008025830695058076,5.763561157037654e-06,8.928045338025902e-05,2.7750776947978773e-05,-3.7280672192437646e-05,0.00019596139566748185,0.0003444731583543761,-2.987591382744439e-05,7.019627761225151e-06,-3.3528759858061913e-06,-2.9144805638173524e-05,-4.025965673525341e-06,0.00025515335252559177,0.00024110185669266732,-4.777811229656667e-08,0.00024903980043328405,9.35054052830052e-05,-5.578936180895644e-05,-6.74038370335826e-05,-8.176717738128723e-06,2.4267575900045076e-05,9.432773839528404e-05
